from,to,active,date,country_from,city_from,country_to,city_to,cum_case
CRL,TUN,0,,Belgium,Brussels,Tunisia,Tunis,38496.0
CRL,OTP,0,,Belgium,Brussels,Romania,Bucharest,38496.0
CRL,NTE,0,,Belgium,Brussels,France,Nantes,38496.0
CRL,SKP,0,,Belgium,Brussels,Macedonia,Skopje,38496.0
CRL,FUE,0,,Belgium,Brussels,Spain,Fuerteventura,38496.0
CRL,PRG,0,,Belgium,Brussels,Czech Republic,Prague,38496.0
CRL,ALC,0,,Belgium,Brussels,Spain,Alicante,38496.0
CRL,BOD,0,,Belgium,Brussels,France,Bordeaux,38496.0
CRL,SSH,0,,Belgium,Brussels,Egypt,Sharm,38496.0
CRL,FSC,0,,Belgium,Brussels,France,Figari,38496.0
CRL,MAD,0,,Belgium,Brussels,Spain,Madrid,38496.0
CRL,BZR,0,,Belgium,Brussels,France,Beziers,38496.0
CRL,CIA,0,,Belgium,Brussels,Italy,Rome,38496.0
CRL,AJA,0,,Belgium,Brussels,France,Ajaccio,38496.0
CRL,AGP,0,,Belgium,Brussels,Spain,Malaga,38496.0
