from,to,active
NKC,CKY,1
NKC,BKO,1
NKC,CMN,1
NKC,DSS,1
NKC,LPA,1
NKC,TUN,1
NDB,LPA,1
MRU,PER,1
MRU,CDG,1
MRU,ORY,1
MRU,BLR,1
MRU,DEL,1
MRU,BOM,1
MRU,NBO,1
MRU,TNR,1
MRU,KUL,1
MRU,RUN,1
MRU,ZSE,1
MRU,JED,1
MRU,SEZ,1
MRU,CPT,1
MRU,DUR,1
MRU,JNB,1
MRU,IST,1
MRU,DXB,1
MRU,LGW,1
MRU,LHR,1
MRU,DAR,0
MRU,MUC,0
MRU,ZRH,0
MRU,SIN,0
MRU,FRA,0
MRU,VIE,0
MRU,GVA,0
MRU,FCO,0
MRU,NOS,0
MRU,MAD,0
MRU,HKG,0
MRU,PVG,0
DZA,AJN,1
DZA,NWA,1
DZA,HAH,1
DZA,NBO,1
DZA,DIE,1
DZA,MJN,1
DZA,NOS,1
DZA,POL,1
DZA,RUN,1
DZA,DAR,1
DZA,CDG,0
DZA,TNR,0
AGA,BRU,1
AGA,CRL,1
AGA,BSL,1
AGA,BOD,1
AGA,LIL,1
AGA,LYS,1
AGA,MRS,1
AGA,NTE,1
AGA,NCE,1
AGA,ORY,1
AGA,TLS,1
AGA,TXL,1
AGA,DUS,1
AGA,HHN,1
AGA,HAJ,1
AGA,LEJ,1
AGA,BGY,1
AGA,GVA,1
AGA,BHX,1
AGA,LGW,1
AGA,STN,1
AGA,MAN,1
AGA,MUC,0
AGA,ZRH,0
AGA,MED,0
AGA,LUX,0
AGA,NRN,0
AGA,FRA,0
AGA,HEL,0
AGA,MXP,0
AGA,CFE,0
AGA,JED,0
AGA,VIE,0
AGA,AMS,0
AGA,TFN,0
AGA,CPH,0
AGA,LPA,0
AGA,MPL,0
AGA,BES,0
CMN,ALG,1
CMN,ORN,1
CMN,VIE,1
CMN,BAH,1
CMN,BRU,1
CMN,CRL,1
CMN,GIG,1
CMN,GRU,1
CMN,DLA,1
CMN,YUL,1
CMN,NDJ,1
CMN,PKX,1
CMN,ABJ,1
CMN,FIH,1
CMN,CPH,1
CMN,CAI,1
CMN,BSL,1
CMN,BOD,1
CMN,LIL,1
CMN,LYS,1
CMN,MRS,1
CMN,ETZ,1
CMN,MPL,1
CMN,NTE,1
CMN,CDG,1
CMN,ORY,1
CMN,SXB,1
CMN,TLS,1
CMN,LBV,1
CMN,BJL,1
CMN,TXL,1
CMN,FRA,1
CMN,MUC,1
CMN,ACC,1
CMN,CKY,1
CMN,BLQ,1
CMN,CTA,1
CMN,CUF,1
CMN,BGY,1
CMN,MXP,1
CMN,NAP,1
CMN,PSA,1
CMN,VCE,1
CMN,BEY,1
CMN,ROB,1
CMN,BKO,1
CMN,NDB,1
CMN,NKC,1
CMN,AMS,1
CMN,NIM,1
CMN,LOS,1
CMN,MCT,1
CMN,LIS,1
CMN,OPO,1
CMN,DOH,1
CMN,DME,1
CMN,JED,1
CMN,RUH,1
CMN,DSS,1
CMN,FNA,1
CMN,ALC,1
CMN,BCN,1
CMN,MAD,1
CMN,AGP,1
CMN,TFS,1
CMN,VLC,1
CMN,ARN,1
CMN,GVA,1
CMN,LFW,1
CMN,TUN,1
CMN,IST,1
CMN,SAW,1
CMN,LGW,1
CMN,LHR,1
CMN,MAN,1
CMN,BOS,1
CMN,MIA,1
CMN,JFK,1
CMN,IAD,1
CMN,MLA,0
CMN,AYT,0
CMN,NCE,0
CMN,NSI,0
CMN,FCO,0
CMN,LPA,0
CMN,RAI,0
CMN,ZRH,0
CMN,COO,0
CMN,PHL,0
CMN,TRN,0
CMN,TFN,0
CMN,SSG,0
CMN,BZV,0
CMN,DXB,0
CMN,OXB,0
CMN,ATH,0
CMN,OUA,0
CMN,AUH,0
CMN,PMI,0
CMN,MED,0
CMN,AMM,0
FEZ,BRU,1
FEZ,CRL,1
FEZ,BOD,1
FEZ,DLE,1
FEZ,LYS,1
FEZ,MRS,1
FEZ,MPL,1
FEZ,NTE,1
FEZ,FNI,1
FEZ,BVA,1
FEZ,CDG,1
FEZ,ORY,1
FEZ,SXB,1
FEZ,TLS,1
FEZ,HHN,1
FEZ,FKB,1
FEZ,NRN,1
FEZ,BGY,1
FEZ,PSA,1
FEZ,TSF,1
FEZ,AMS,1
FEZ,EIN,1
FEZ,BCN,1
FEZ,MAD,1
FEZ,AGP,1
FEZ,SVQ,1
FEZ,VLC,1
FEZ,LGW,1
FEZ,STN,1
FEZ,XCR,0
FEZ,MED,0
FEZ,JED,0
RAK,VIE,1
RAK,BRU,1
RAK,CRL,1
RAK,PRG,1
RAK,CPH,1
RAK,BSL,1
RAK,BOD,1
RAK,DLE,1
RAK,LIL,1
RAK,LYS,1
RAK,MRS,1
RAK,MPL,1
RAK,NTE,1
RAK,NCE,1
RAK,FNI,1
RAK,BVA,1
RAK,CDG,1
RAK,ORY,1
RAK,XCR,1
RAK,PUF,1
RAK,PGF,1
RAK,SXB,1
RAK,TLS,1
RAK,TUF,1
RAK,SXF,1
RAK,CGN,1
RAK,DUS,1
